video_name,tag
v_BoxingPunchingBag_g08_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g08_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g08_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g08_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g08_c05.avi,BoxingPunchingBag
v_BoxingPunchingBag_g08_c06.avi,BoxingPunchingBag
v_BoxingPunchingBag_g08_c07.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c05.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c06.avi,BoxingPunchingBag
v_BoxingPunchingBag_g09_c07.avi,BoxingPunchingBag
v_BoxingPunchingBag_g10_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g10_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g10_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g10_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g11_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g11_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g11_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g11_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g11_c05.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c05.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c06.avi,BoxingPunchingBag
v_BoxingPunchingBag_g12_c07.avi,BoxingPunchingBag
v_BoxingPunchingBag_g13_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g13_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g13_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g13_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c05.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c06.avi,BoxingPunchingBag
v_BoxingPunchingBag_g14_c07.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c02.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c03.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c04.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c05.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c06.avi,BoxingPunchingBag
v_BoxingPunchingBag_g15_c07.avi,BoxingPunchingBag
v_BoxingPunchingBag_g16_c01.avi,BoxingPunchingBag
v_BoxingPunchingBag_g16_c02.avi,BoxingPunchingBag
